"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"CarePlanEu","CarePlan.activity.progress","CarePlan.activity.progress","","","",0,*,"","","","Annotation {[]} {[]}
","Comments about the activity status/progress","Notes about the adherence/status/progress of the activity.","This element should NOT be used to describe the activity to be performed - that occurs either within the resource pointed to by activity.detail.reference or in activity.detail.description.","Can be used to capture information about adherence, progress, concerns, etc.","","","","","","","",,,,,"",,,,"CarePlan.activity.progress",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CarePlanEu","CarePlan.activity.plannedActivityReference","CarePlan.activity.plannedActivityReference","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Appointment|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/CommunicationRequest|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/DeviceRequest|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/MedicationRequest|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/NutritionOrder|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Task|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/ServiceRequest|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/VisionPrescription|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/RequestOrchestration|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/ImmunizationRecommendation|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/SupplyRequest|5.0.0]]}
","Activity that is intended to be part of the care plan","The details of the proposed activity represented in a specific resource.","Standard extension exists ([http://hl7.org/fhir/StructureDefinition/resource-pertainsToGoal](http://hl7.org/fhir/extensions/StructureDefinition-resource-pertainsToGoal.html)) that allows goals to be referenced from any of the referenced resources in CarePlan.activity.plannedActivityReference.  
The goal should be visible when the resource referenced by CarePlan.activity.plannedActivityReference is viewed independently from the CarePlan.  Requests that are pointed to by a CarePlan using this element should *not* point to this CarePlan using the ""basedOn"" element.  i.e. Requests that are part of a CarePlan are not ""based on"" the CarePlan.","Details in a form consistent with other applications and contexts of use.","","","","","","","",,,,,"",,,,"CarePlan.activity.plannedActivityReference",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CarePlanEu","CarePlan.note","CarePlan.note","","","",0,*,"","","","Annotation {[]} {[]}
","Comments about the plan","General notes about the care plan not covered elsewhere.","","Used to capture information that applies to the plan as a whole that doesn't fit into discrete elements.","","","","","","","",,,,,"",,,,"CarePlan.note",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CodeableConcept-uv-ips","CodeableConcept","CodeableConcept","","","",0,*,"","","","null {[]} {[]}
","Concept - reference to a terminology or just  text","A concept that may be defined by a formal reference to a terminology or ontology or may be provided by text.","Not all terminology uses fit this general pattern. In some cases, models should not use CodeableConcept and use Coding directly and provide their own structure for managing text, codings, translations and the relationship between elements and pre- and post-coordination.","","","","","","","","",,,,,"",,,,"CodeableConcept",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CodeableConcept-uv-ips","CodeableConcept.id","CodeableConcept.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"CodeableConcept-uv-ips","CodeableConcept.extension","CodeableConcept.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CodeableConcept-uv-ips","CodeableConcept.coding","CodeableConcept.coding","","","",0,*,"Y","","Y","Coding {[CanonicalType[http://hl7.org/fhir/uv/ips/StructureDefinition/Coding-uv-ips|2.0.0]]} {[]}
","Code defined by a terminology system","A reference to a code defined by a terminology system.","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CodeableConcept-uv-ips","CodeableConcept.text","CodeableConcept.text","","","",0,1,"Y","","Y","string {[]} {[]}
","Plain text representation of the concept","A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"CodeableConcept-uv-ips","CodeableConcept.text.id","CodeableConcept.text.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references)","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"CodeableConcept-uv-ips","CodeableConcept.text.extension","CodeableConcept.text.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CodeableConcept-uv-ips","CodeableConcept.text.extension:translation","CodeableConcept.text.extension","translation","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/StructureDefinition/translation|5.2.0]]} {[]}
","Language Translation (Localization)","Language translation from base language of resource to another language.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"CodeableConcept-uv-ips","CodeableConcept.text.value","CodeableConcept.text.value","","","",0,1,"","","","string {[]} {[]}
","Primitive value for string","The actual value","","","","","","","","","",1048576,,,,"",,,,"string.value",0,1,"",""
